,player_id,player_name,team,start,end
0,817057,DeMar DeRozan,Chicago Bulls,2021-08-02,
1,817057,DeMar DeRozan,San Antonio Spurs,2018-07-17,2021-08-02
2,817057,DeMar DeRozan,Toronto Raptors,2009-06-24,2018-07-17
0,817218,Zach LaVine,Chicago Bulls,2017-06-22,
1,817218,Zach LaVine,Minnesota Timberwolves,2014-06-25,2017-06-22
0,1133917,Carlik Jones,Chicago Bulls,2023-02-14,
1,1133917,Carlik Jones,Texas Legends,2022-01-10,2023-02-14
2,1133917,Carlik Jones,Denver Nuggets,2022-01-02,2022-01-10
0,885217,Lonzo Ball,Chicago Bulls,2021-08-01,
1,885217,Lonzo Ball,New Orleans Pelicans,2019-06-14,2021-08-01
2,885217,Lonzo Ball,Los Angeles Lakers,2017-06-21,2019-06-14
0,817423,Nikola Vučević,Chicago Bulls,2021-03-24,
1,817423,Nikola Vučević,Orlando Magic,2012-08-09,2021-03-24
2,817423,Nikola Vučević,Philadelphia 76ers,2011-06-22,2012-08-09
0,1092881,Patrick Williams,Chicago Bulls,2020-12-02,
0,1133911,Ayo Dosunmu,Chicago Bulls,2021-07-28,
0,816989,Patrick Beverley,Chicago Bulls,2023-02-20,
1,816989,Patrick Beverley,Orlando Magic,2023-02-08,2023-02-20
2,816989,Patrick Beverley,Los Angeles Lakers,2022-08-24,2023-02-08
3,816989,Patrick Beverley,Utah Jazz,2022-06-30,2022-08-24
4,816989,Patrick Beverley,Minnesota Timberwolves,2021-08-16,2022-06-30
5,816989,Patrick Beverley,Memphis Grizzlies,2021-08-15,2021-08-16
6,816989,Patrick Beverley,Los Angeles Clippers,2017-06-28,2021-08-15
7,816989,Patrick Beverley,Houston Rockets,2013-01-06,2017-06-28
0,989015,Coby White,Chicago Bulls,2019-06-19,
0,855801,Alex Caruso,Chicago Bulls,2021-08-02,
1,855801,Alex Caruso,Los Angeles Lakers,2017-07-12,2021-08-02
0,954825,Javonte Green,Chicago Bulls,2021-03-24,
1,954825,Javonte Green,Boston Celtics,2019-07-25,2021-03-24
0,855985,Derrick Jones Jr.,Chicago Bulls,2021-08-26,
1,855985,Derrick Jones Jr.,Portland Trail Blazers,2020-11-22,2021-08-26
2,855985,Derrick Jones Jr.,Miami Heat,2017-12-30,2020-11-22
3,855985,Derrick Jones Jr.,Phoenix Suns,2016-09-25,2017-12-30
0,817069,Andre Drummond,Chicago Bulls,2022-06-30,
1,817069,Andre Drummond,Brooklyn Nets,2022-02-09,2022-06-30
2,817069,Andre Drummond,Philadelphia 76ers,2021-08-02,2022-02-09
3,817069,Andre Drummond,Los Angeles Lakers,2021-03-28,2021-08-02
4,817069,Andre Drummond,Cleveland Cavaliers,2020-02-05,2021-03-28
5,817069,Andre Drummond,Detroit Pistons,2012-06-27,2020-02-05
1181319,1181319,Dalen Terry,Chicago Bulls,,
0,885251,Tony Bradley,Chicago Bulls,2021-08-18,
1,885251,Tony Bradley,Oklahoma City Thunder,2021-03-24,2021-08-18
2,885251,Tony Bradley,Philadelphia 76ers,2020-11-22,2021-03-24
3,885251,Tony Bradley,Detroit Pistons,2020-11-21,2020-11-22
4,885251,Tony Bradley,Utah Jazz,2017-06-22,2020-11-21
5,885251,Tony Bradley,Los Angeles Lakers,2017-06-21,2017-06-22
0,963001,Marko Simonović,Chicago Bulls,2021-08-17,
1,963001,Marko Simonović,Chicago Bulls,2020-11-18,2021-08-17
0,1133914,Malcolm Hill,Chicago Bulls,2022-01-13,
0,816960,Giannis Antetokounmpo,Milwaukee Bucks,2013-07-29,
0,817159,Jrue Holiday,Milwaukee Bucks,2020-11-16,
1,817159,Jrue Holiday,New Orleans Pelicans,2013-07-11,2020-11-16
2,817159,Jrue Holiday,Philadelphia 76ers,2009-06-24,2013-07-11
0,817236,Brook Lopez,Milwaukee Bucks,2018-07-16,
1,817236,Brook Lopez,Los Angeles Lakers,2017-06-22,2018-07-16
2,817236,Brook Lopez,Brooklyn Nets,2008-06-25,2017-06-22
0,817329,Bobby Portis,Milwaukee Bucks,2020-11-20,
1,817329,Bobby Portis,New York Knicks,2019-06-30,2020-11-20
2,817329,Bobby Portis,Washington Wizards,2019-02-06,2019-06-30
3,817329,Bobby Portis,Chicago Bulls,2015-06-24,2019-02-06
0,817265,Khris Middleton,Milwaukee Bucks,2013-07-30,
1,817265,Khris Middleton,Detroit Pistons,2012-08-14,2013-07-30
0,940814,Grayson Allen,Milwaukee Bucks,2021-01-31,
1,940814,Grayson Allen,Memphis Grizzlies,2019-07-05,2021-01-31
2,940814,Grayson Allen,Utah Jazz,2018-07-01,2019-07-05
0,817039,Pat Connaughton,Milwaukee Bucks,2018-08-07,
1,817039,Pat Connaughton,Portland Trail Blazers,2015-07-08,2018-08-07
0,940801,Jevon Carter,Milwaukee Bucks,2022-02-23,
1,940801,Jevon Carter,Brooklyn Nets,2021-08-05,2022-02-23
2,940801,Jevon Carter,Phoenix Suns,2019-07-06,2021-08-05
3,940801,Jevon Carter,Memphis Grizzlies,2018-06-20,2019-07-06
0,817175,Joe Ingles,Milwaukee Bucks,2022-06-30,
1,817175,Joe Ingles,Portland Trail Blazers,2022-02-08,2022-06-30
2,817175,Joe Ingles,Utah Jazz,2014-10-26,2022-02-08
0,817047,Jae Crowder,Milwaukee Bucks,2023-02-08,
1,817047,Jae Crowder,Phoenix Suns,2020-11-20,2023-02-08
2,817047,Jae Crowder,Miami Heat,2020-02-05,2020-11-20
3,817047,Jae Crowder,Memphis Grizzlies,2019-07-05,2020-02-05
4,817047,Jae Crowder,Utah Jazz,2018-02-07,2019-07-05
5,817047,Jae Crowder,Cleveland Cavaliers,2017-08-21,2018-02-07
6,817047,Jae Crowder,Boston Celtics,2014-09-17,2017-08-21
7,817047,Jae Crowder,Dallas Mavericks,2012-07-19,2014-09-17
0,817068,Goran Dragić,Milwaukee Bucks,2023-03-04,
1,817068,Goran Dragić,Chicago Bulls,2022-06-30,2023-03-04
2,817068,Goran Dragić,Brooklyn Nets,2022-02-21,2022-06-30
3,817068,Goran Dragić,San Antonio Spurs,2022-02-09,2022-02-21
4,817068,Goran Dragić,Toronto Raptors,2021-08-06,2022-02-09
5,817068,Goran Dragić,Miami Heat,2015-02-18,2021-08-06
6,817068,Goran Dragić,Phoenix Suns,2008-09-21,2015-02-18
7,817068,Goran Dragić,Union Olimpija Ljubljana,2006-06-18,2008-09-21
0,817249,Wesley Matthews,Milwaukee Bucks,2021-12-02,
1,817249,Wesley Matthews,Los Angeles Lakers,2020-11-21,2021-12-02
2,817249,Wesley Matthews,Milwaukee Bucks,2019-07-01,2020-11-21
3,817249,Wesley Matthews,Indiana Pacers,2019-02-09,2019-07-01
4,817249,Wesley Matthews,New York Knicks,2019-01-30,2019-02-09
5,817249,Wesley Matthews,Dallas Mavericks,2015-07-08,2019-01-30
6,817249,Wesley Matthews,Portland Trail Blazers,2010-07-09,2015-07-08
7,817249,Wesley Matthews,Utah Jazz,2009-08-31,2010-07-09
1206073,1206073,MarJon Beauchamp,Milwaukee Bucks,,
0,817230,Meyers Leonard,Milwaukee Bucks,2023-02-20,
1,817230,Meyers Leonard,Oklahoma City Thunder,2021-03-17,2023-02-20
2,817230,Meyers Leonard,Miami Heat,2019-07-05,2021-03-17
3,817230,Meyers Leonard,Portland Trail Blazers,2012-07-12,2019-07-05
1179862,1179862,AJ Green,Milwaukee Bucks,,
0,816961,Thanasis Antetokounmpo,Milwaukee Bucks,2019-07-06,
1,816961,Thanasis Antetokounmpo,New York Knicks,2014-06-25,2019-07-06
0,861608,Luka Dončić,Dallas Mavericks,2018-06-25,
1,861608,Luka Dončić,Atlanta Hawks,2018-06-20,2018-06-25
0,817177,Kyrie Irving,Dallas Mavericks,2023-02-04,
1,817177,Kyrie Irving,Brooklyn Nets,2019-06-30,2023-02-04
2,817177,Kyrie Irving,Boston Celtics,2017-08-21,2019-06-30
3,817177,Kyrie Irving,Cleveland Cavaliers,2011-12-09,2017-08-21
0,817132,Tim Hardaway Jr.,Dallas Mavericks,2019-01-30,
1,817132,Tim Hardaway Jr.,New York Knicks,2017-07-25,2019-01-30
2,817132,Tim Hardaway Jr.,Atlanta Hawks,2015-06-24,2017-07-25
3,817132,Tim Hardaway Jr.,New York Knicks,2013-07-07,2015-06-24
0,817455,Christian Wood,Dallas Mavericks,2022-06-15,
1,817455,Christian Wood,Houston Rockets,2020-11-22,2022-06-15
2,817455,Christian Wood,Detroit Pistons,2019-07-16,2020-11-22
3,817455,Christian Wood,New Orleans Pelicans,2019-03-19,2019-07-16
0,817012,Reggie Bullock,Dallas Mavericks,2021-08-05,
1,817012,Reggie Bullock,New York Knicks,2019-06-30,2021-08-05
2,817012,Reggie Bullock,Los Angeles Lakers,2019-02-05,2019-06-30
3,817012,Reggie Bullock,Detroit Pistons,2015-07-08,2019-02-05
4,817012,Reggie Bullock,Phoenix Suns,2015-01-14,2015-07-08
5,817012,Reggie Bullock,Los Angeles Clippers,2013-06-26,2015-01-14
0,1092940,Josh Green,Dallas Mavericks,2020-12-02,
